feature,SAT12LB,SAT12UB,SAT13LB,SAT13UB,SAT23LB,SAT23UB,SAT1LB,SAT1UB,SAT2LB,SAT2UB,SAT3LB,SAT3UB
P0,-0.003227329593168,0.000100548711173,-0.008982325085407,-0.003724376221069,-0.007572847660756,-0.002006423044002,0.007602631513398,0.009544151793506,0.008796621322397,0.011496393680103,0.012425784130624,0.017347061294682
r,0.97531147710926,1.81426831906393,1.79611308972598,2.58604492088339,0.608950148950272,0.965181478443978,3.2762689161785,4.03126503427843,2.09576267696443,2.39112828981584,1.36078556349899,1.54755961224205
TimeMax,-1.2075,-0.65,-2.8475,-2.2825,-1.88333333333333,-1.38,3.44,3.8775,4.4325,4.795,6.07333333333333,6.41666666666667
K,-0.329620422947862,2.43578373535037,-4.42989747142757,-0.81204216442049,-5.50172006026966,-1.85572422857762,5.78934997257218,7.7134868655295,4.75838511795885,6.73019830502974,7.85003982507612,10.9610624583809
maxViral,0.322381999877585,2.73881479444293,-2.52363667253902,0.374729125286526,-3.92662270680142,-1.22854971526642,5.75998323407888,7.65975464536074,4.45791934931092,5.95350299358139,6.64853860172701,8.86550377878942
EAR,4.33951664557466,12.7006891062595,11.249254330988,21.7305337833697,1.90768395091688,14.9914471630918,-0.812584172137492,-0.443884560380782,-13.3110829540573,-4.96796593518635,-22.3550847976725,-11.9090048374218
cumViral,11.3064907330516,18.2201658533642,1.43975571232283,9.77557485128913,-12.6533329046981,-5.65567223571312,26.0486982056328,31.9376935130568,12.5050627212357,16.1247173423884,20.3385575003798,26.3826033715148
I0,-0.208288411736265,0.512925310374848,-1.35483278738551,-0.323127928703489,-1.49591613388476,-0.477630195630074,1.66039778641047,2.19306855218165,1.53228009386141,2.02359106381275,2.31573032308249,3.20497101355423
k,-0.094127151145707,-0.011666099731054,-0.031153814893347,0.04810810935888,0.017505735626715,0.104543835285577,0.109390093562651,0.161830831679775,0.156433753081897,0.220912444939014,0.097773037995475,0.156993990782248
b,-0.479137783656501,-0.304510102233344,-0.173258024874771,-0.026185518412274,0.194096031840787,0.39689882472289,0.308116824492192,0.379950952293159,0.654054399271097,0.813477074321462,0.378629035001594,0.504523792415743
delta,-0.98749298021854,-0.37429798756217,-0.506173684337054,0.17589124606269,0.151838610574925,0.884429136371613,1.70030487812256,2.07949728027042,2.31816636852482,2.79171090330867,1.75722519081573,2.32263320218311
P0,-0.003183984861408,9.20E-05,-0.008852843696087,-0.003659595948016,-0.007496921004967,-0.001992228402461,0.007573909727513,0.009501499470823,0.008772599965846,0.011408518904954,0.012323766962552,0.017148652350899
r,0.959284665726971,1.8184424589299,1.74817508204152,2.53932621032297,0.570891353456813,0.946061603963575,3.2654477775121,4.01877705890678,2.08400390944447,2.40068246347243,1.37991973269812,1.57551315219849
TimeMax,-1.21,-0.630000000000001,-2.87083333333333,-2.27833333333333,-1.9575,-1.36333333333333,3.4225,3.8525,4.39,4.79,6.04,6.47333333333333
K,-0.417788433933008,2.57038869907606,-3.74829379185698,0.036951330384304,-4.94095196048826,-1.03477561016502,5.8325530431111,7.76827126907598,4.65552284922109,6.88006936426348,7.01579956602915,10.2259265100102
maxViral,0.333840337675734,2.84683556318328,-2.09997550361368,0.878108136961207,-3.58834709719837,-0.82070526126882,5.8004736230554,7.70598930397903,4.37790801701498,5.98670118630839,6.1969920215608,8.46312913780129
EAR,3.9728006033485,14.0704608585461,7.85978627089222,20.5743429503835,-2.10043142760783,13.9548488765588,-0.904342803281234,-0.504919576686223,-14.7801528397271,-4.69590549442225,-21.2890832180084,-8.55273398238696
cumViral,11.0960707340924,18.2066760070878,1.05295685327195,9.77752101119518,-13.0450961812134,-5.50384407445817,25.9837527697741,31.9229538254698,12.4325003424408,16.2999726011712,20.3039573655419,26.7837461694881
I0,-0.266634414587333,0.714643467319157,-0.834682907309785,0.311195787515295,-1.05561831764556,0.068995353786726,2.26052030946964,2.97790382109735,2.06114899734177,2.73128558282974,2.43144524746807,3.3231252641394
k,-0.0837850143818,0.001682594704042,0.013367527460826,0.093697863851311,0.049282843249566,0.141238265114214,0.088827856688595,0.140661413520392,0.122478738705876,0.190565252648641,0.031074133570946,0.093134567930474
b,-0.480040060615713,-0.299441353539506,-0.179532423706244,-0.024510658887962,0.184057402402432,0.397790025400915,0.297828743313896,0.367769711378552,0.636328627671027,0.802771348468452,0.362183850973181,0.501059865173377
delta,-0.992889379595911,-0.35021367766364,-0.428921944944174,0.297111657646886,0.204019195339416,1.0021324382205,1.67582896705461,2.05464026137873,2.25899972962554,2.77366113687655,1.60747549312461,2.2168666429414
P0,-0.000807874860419,0.004658645234268,-0.000355148063305,0.005266020227635,-0.001952718812753,0.002997576417919,0.013786783401252,0.018100244291542,0.012303146716905,0.015710488685751,0.01168373080196,0.015306789536942
r,-1.70567102915297,0.612235774649949,-1.03909125650868,0.972622668626039,-0.634739215959794,1.66757479396524,3.58694186019601,4.93228982797095,3.86235433544963,5.66749582375845,3.655727245613,5.0001683070827
TimeMax,-0.415000000000001,0.61,-0.255,0.58,-0.4125,0.552499999999999,2.6175,3.2275,2.435,3.2375,2.485,3.0075
K,1.20283728973893,3.90034626679485,0.144515079759172,3.22645213077789,-2.26403403458079,0.51085851158283,7.67656832045536,9.83268310655693,5.44809335137134,7.07454250841203,6.03441453678471,8.22258847460163
maxViral,1.15201520539024,3.76168456755673,0.190467249723292,3.13594470452588,-2.14110542806163,0.533258598225894,7.58790590290619,9.67075496088106,5.42769088402046,7.01959057341176,5.97126337721639,8.06421541928434
EAR,-1.84007605619393,-0.093425275988553,-1.1629903705139,1.04332257335438,-0.056836315083527,1.90723954301137,-2.25448345311303,-0.824709939376008,-1.18716617597682,-0.18299004472875,-2.33785293369693,-0.693302399695566
cumViral,-1.95389519488473,5.90905271096133,6.02698380739656,13.2881939240491,4.28165465206127,11.1208112954087,25.3304843553318,31.1798661800957,23.6787198377281,28.9277726246061,16.4549803089894,20.7973862020644
I0,-0.02359210842873,0.721735314927029,-0.211786560537911,0.590414169972374,-0.522243645314306,0.194918982190006,1.67639963703629,2.26736213783935,1.38884407900232,1.85404693451495,1.51702447002226,2.06077422520274
k,-0.032058842296281,0.056027147132643,-0.064013253988514,0.036938387597234,-0.07555098778973,0.02432878412036,0.151756760940203,0.215449085147827,0.141013393678384,0.201469796504221,0.158250406988114,0.236035958499068
b,-0.104250919808664,1.48E-02,-0.253839279091647,-0.103164180872474,-0.212801829524579,-0.054718828355139,0.32311752938227,0.401570107556277,0.361165961075381,0.449525613800109,0.473504238223769,0.602474217997225
delta,-0.095243397944603,0.648653278840688,-0.438263216118212,0.161280076595333,-0.749810583934667,-0.079495286054639,2.43790733761691,2.91643729203797,2.11739600051085,2.68159686530814,2.63098545576355,2.98261622251355
P0,-0.000843947984079,0.004739042942699,-0.000319046474702,0.005219946786214,-0.001959763423382,0.003035848672505,0.013785104996644,0.018091539799644,0.012222823910347,0.015755181228243,0.011669556387027,0.015278005207023
r,-1.8791679386931,0.471886300210019,-1.22702299465536,0.859451870980462,-0.686185666043669,1.73239703742414,3.5209282348733,4.8563161391262,3.86191958031072,5.74391691558606,3.60832672865133,5.07757654213582
TimeMax,-0.395,0.5975,-0.2575,0.56,-0.4375,0.5425,2.59,3.1575,2.395,3.1975,2.4425,3.0075
K,1.31051480910027,4.40983093296053,0.066913609910374,3.66356694104512,-2.63635642118387,0.556453065857859,7.84917444669515,10.3054785712964,5.40821909602879,7.26384625926492,6.02952861390885,8.61652185460474
maxViral,1.25854592132696,4.20284405887423,0.12652460270566,3.49882888940489,-2.4558562082648,0.568055918326887,7.74582514896627,10.0735004002534,5.38963985863008,7.17674433060433,5.97174076872675,8.3983259177721
EAR,-2.37815929574494,-0.078692340275538,-1.52942981760186,1.34061986251489,-0.128327483615172,2.43698695997117,-2.83723735006444,-0.976009316260067,-1.51501070199691,-0.195766636993942,-2.90172225030749,-0.747818247972448
cumViral,-4.09352267435594,3.40397897804687,3.75579877708377,10.5361324945079,4.11110849001806,10.9230473522203,23.3126368249423,28.5862351274198,23.7130119400818,29.0665983213835,16.6663398351917,21.0529508488244
I0,-0.26958653863366,0.744634978280086,-0.386225139968599,0.666676429749296,-0.595829817202096,0.375646130397692,2.26642629949517,3.02214706446016,2.07046148523108,2.72890901482039,2.14482733771193,2.85537735588211
k,-0.040716860181993,0.053999477555954,-0.065107062282876,0.04111269675021,-0.065830049473172,0.031246602094677,0.118806714365069,0.191289354397712,0.119397018048301,0.178614007614181,0.128046912413293,0.205849589038748
b,-0.072813701920214,0.043820756400409,-0.216811627611368,-0.070433771360411,-0.204151150525185,-0.052235430408302,0.332269638937364,0.409650020701258,0.341437586399857,0.426882913942156,0.449937778916783,0.574417982401655
delta,-0.008513258123994,0.703215030163273,-0.356253398185695,0.209049587667867,-0.75996803876775,-0.084602706363901,2.50515068897569,2.92906364600981,2.09065568923917,2.64865966323165,2.59517800091226,2.96879312756604
