Type,Method,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
SAT1 ,Contact,2,0.108133354573982,6.52889642529676,1.81475376458003,0.311876858934291,2.71349054309392,3.42347456594433,0.007596476675429,0.006905887886774,6.49240767390762,3.82,29.8606303657925
SAT1 ,Contact,4,0.098207830716699,5.96426926842416,1.78079529552149,0.354457313026992,2.85793526471941,3.40156331295791,0.005815017333621,0.005286379394222,5.92698376477005,3.85,26.2097935315859
SAT1 ,Contact,19,0.106704766340164,5.96914534482071,1.83463177175476,0.358041569747718,2.87215627274823,3.86092988753105,0.007803685945643,0.007094259950607,5.94137059117497,3.41,26.084220416183
SAT1 ,Contact,33,0.112504502300505,8.61037287797996,1.95813325586577,0.285499531202933,2.68304703823712,3.4676831412206,0.008204476631779,0.00745861511982,8.53812526800386,3.68,32.6810367598395
SAT2 ,Contact,5,0.159517864627016,3.75000000000002,2.99999999999998,0.999999999884128,2.61744154891893,3.66450566349272,0.005026527169025,0.00456957015368,3.66924747363667,3.06,9.15335235300338
SAT2 ,Contact,9,0.135410472346092,7.26863491329406,1.77958156811149,0.458323409932529,2.44554571845794,1.90064783214694,0.011880703105997,0.01080063918741,6.80821676050461,5.1,20.4869358207365
SAT2 ,Contact,22,0.142786291904256,5.75490446474218,2.51956988608113,0.634559426494098,2.29018202265464,1.68369990867218,0.008234122317304,0.007485565748051,5.15420683961416,5.48,14.3664178161051
SAT2 ,Contact,29,0.131254547758692,4.52158226076903,2.99999999993233,0.903028519474749,2.80071707828233,1.94363080610997,0.006888215996878,0.00765357332984,4.03834231721573,4.61,9.81475658554311
SAT3 ,Contact,12,0.040000000000023,8.99959035903591,1.47039719814359,0.287470744207512,2.92220627442887,1.06953370889689,0.019946775045657,0.01813343185971,7.83426653257431,7.97,31.3911977171573
SAT3 ,Contact,15,0.051562970505344,3.75000000000002,2.99999999999997,0.99999999999988,2.74973631556901,1.06224333078581,0.061841048231389,0.06871227581263,2.8262234029769,5.13,8.57957325058891
SAT3 ,Contact,16,0.102441025270999,11,2.66390474765046,0.598434386916053,3.34004731766137,1.54563702383085,0.005690289982182,0.006322544424622,7.84340632704769,5.62,15.0216380246025
SAT3 ,Contact,17,0.040000000008877,7.31443934155212,1.82590627197362,0.400547661825206,2.57573711662868,1.91863321004615,0.017100929824692,0.015546299840721,6.9458752397457,5.02,23.0644313632175
