Feature,"mu, ID5","sigma, ID5","mu, ID9","sigma, ID9","mu, ID 22","sigma, ID22","mu, ID29","sigma, ID29"
P0,"(-5.0993,-5.0947)","(0.1159,0.1191)","(-4.2256,-4.2201)","(0.138,0.1418)","(-4.7036,-4.6993)","(0.109,0.112)","(-4.6048,-4.5999)","(0.1246,0.1281)"
r,"(1.2782,1.2807)","(0.0626,0.0644)","(0.5772,0.5799)","(0.0674,0.0693)","(0.4971,0.4994)","(0.0587,0.0604)","(0.6377,0.6406)","(0.0729,0.0749)"
TimeMax,"(1.1319,1.1336)","(0.0451,0.0463)","(1.639,1.6403)","(0.0333,0.0342)","(1.7096,1.7112)","(0.0391,0.0402)","(1.5306,1.5322)","(0.0397,0.0408)"
K,"(1.3889,1.3924)","(0.0888,0.0913)","(2.0729,2.08)","(0.1788,0.1838)","(1.7492,1.7569)","(0.1943,0.1997)","(1.5265,1.5325)","(0.1527,0.157)"
maxViral,"(1.3694,1.3727)","(0.0838,0.0862)","(1.9838,1.9899)","(0.1527,0.157)","(1.6337,1.6399)","(0.1565,0.1609)","(1.4151,1.4201)","(0.1257,0.1292)"
cumViral,"(2.3275,2.3308)","(0.083,0.0854)","(3.0299,3.0346)","(0.116,0.1192)","(2.703,2.7088)","(0.1458,0.1499)","(2.3333,2.3375)","(0.1049,0.1078)"
I0,"(0.5399,0.5456)","(0.1439,0.1479)","(0.3936,0.3991)","(0.1374,0.1413)","(0.6892,0.6948)","(0.1426,0.1466)","(0.605,0.6108)","(0.1457,0.1498)"
k,"(-1.575,-1.5672)","(0.1966,0.2021)","(-1.557,-1.552)","(0.1277,0.1313)","(-2.1704,-2.1572)","(0.3311,0.3404)","(-1.5929,-1.5871)","(0.1459,0.15)"
b,"(-0.0686,-0.0653)","(0.0834,0.0857)","(-0.7447,-0.74)","(0.1177,0.121)","(-0.484,-0.4782)","(0.1478,0.1519)","(-0.106,-0.1018)","(0.1058,0.1087)"
delta,"(1.0591,1.0614)","(0.0573,0.0589)","(0.6459,0.651)","(0.1281,0.1317)","(0.9003,0.9062)","(0.1483,0.1525)","(1.072,1.074)","(0.05,0.0515)"
P0,"(-5.1313,-5.1268)","(0.1128,0.116)","(-4.226,-4.2205)","(0.1377,0.1416)","(-4.704,-4.6997)","(0.1081,0.1112)","(-4.6043,-4.5994)","(0.1234,0.1269)"
r,"(1.2584,1.2607)","(0.0587,0.0603)","(0.5928,0.5961)","(0.0832,0.0855)","(0.4901,0.4925)","(0.0608,0.0625)","(0.655,0.6583)","(0.0834,0.0858)"
TimeMax,"(1.134,1.1357)","(0.0418,0.0429)","(1.6339,1.6355)","(0.0392,0.0403)","(1.7125,1.7141)","(0.0406,0.0417)","(1.51,1.5119)","(0.0481,0.0495)"
K,"(1.3988,1.4027)","(0.0994,0.1022)","(2.0396,2.048)","(0.2096,0.2154)","(1.7861,1.795)","(0.2222,0.2285)","(1.5113,1.5174)","(0.1535,0.1578)"
maxViral,"(1.3741,1.3778)","(0.0925,0.0951)","(1.9532,1.9602)","(0.1742,0.1791)","(1.6586,1.6654)","(0.1712,0.176)","(1.3952,1.4001)","(0.123,0.1265)"
cumViral,"(2.2956,2.2991)","(0.0898,0.0923)","(3.0496,3.0546)","(0.1243,0.1278)","(2.7132,2.7194)","(0.1548,0.1591)","(2.3081,2.3126)","(0.1127,0.1159)"
I0,"(0.893,0.8989)","(0.1472,0.1513)","(0.8183,0.8239)","(0.1417,0.1457)","(0.7554,0.7611)","(0.1424,0.1464)","(0.9596,0.9654)","(0.1451,0.1492)"
k,"(-1.7825,-1.7732)","(0.2336,0.2402)","(-1.9341,-1.9257)","(0.2122,0.2181)","(-1.9042,-1.8956)","(0.2158,0.2218)","(-1.9563,-1.9465)","(0.2469,0.2538)"
b,"(-0.0752,-0.0716)","(0.0905,0.093)","(-0.8084,-0.8034)","(0.1254,0.1289)","(-0.5014,-0.4951)","(0.1572,0.1616)","(-0.12,-0.1154)","(0.1148,0.1181)"
delta,"(1.0587,1.0611)","(0.0599,0.0616)","(0.59,0.5959)","(0.1488,0.1529)","(0.9052,0.9118)","(0.1652,0.1699)","(1.0584,1.0608)","(0.0621,0.0638)"
