Feature,"mu, ID8","sigma, ID8","mu, ID20","sigma, ID20","mu, ID28","sigma, ID28","mu, ID32","sigma, ID32"
P0,"(-4.2296,-4.2245)","(0.128,0.1316)","(-4.0893,-4.0844)","(0.1226,0.126)","(-4.5812,-4.5769)","(0.1087,0.1118)","(-4.2972,-4.2921)","(0.129,0.1327)"
r,"(1.4592,1.4655)","(0.1596,0.1641)","(1.5946,1.603)","(0.2112,0.2172)","(1.555,1.563)","(0.2026,0.2083)","(1.546,1.554)","(0.2017,0.2074)"
TimeMax,"(0.9801,0.9842)","(0.1018,0.1047)","(0.9988,1.0048)","(0.1516,0.1559)","(1.0569,1.063)","(0.1541,0.1584)","(1.0622,1.0684)","(0.156,0.1603)"
K,"(1.957,1.9631)","(0.1552,0.1595)","(1.9407,1.9455)","(0.1205,0.1239)","(1.4784,1.4825)","(0.1031,0.106)","(1.8243,1.8289)","(0.1153,0.1185)"
maxViral,"(1.9446,1.9506)","(0.1512,0.1554)","(1.9384,1.9434)","(0.1265,0.1301)","(1.4766,1.4806)","(0.1026,0.1055)","(1.8222,1.8267)","(0.1147,0.1179)"
cumViral,"(2.9241,2.9289)","(0.1201,0.1235)","(3.48,3.484)","(0.0998,0.1026)","(3.0907,3.0945)","(0.0933,0.0959)","(3.447,3.4508)","(0.094,0.0967)"
I0,"(0.3501,0.3562)","(0.1544,0.1588)","(0.629,0.6347)","(0.1441,0.1481)","(0.2103,0.2154)","(0.1279,0.1315)","(0.6302,0.6358)","(0.1415,0.1455)"
k,"(-1.4071,-1.4007)","(0.1611,0.1657)","(-2.2643,-2.2463)","(0.452,0.4647)","(-1.5932,-1.5891)","(0.1033,0.1062)","(-2.1649,-2.1551)","(0.2464,0.2534)"
b,"(-0.6366,-0.6318)","(0.1206,0.124)","(-1.2135,-1.2095)","(0.1011,0.1039)","(-0.7801,-0.7763)","(0.0944,0.0971)","(-1.1732,-1.1694)","(0.0958,0.0985)"
delta,"(1.0558,1.0579)","(0.0547,0.0563)","(0.8475,0.8531)","(0.1426,0.1466)","(0.795,0.8006)","(0.1414,0.1453)","(0.7196,0.7253)","(0.1452,0.1493)"
P0,"(-4.2284,-4.2233)","(0.1279,0.1314)","(-4.0886,-4.0837)","(0.1228,0.1263)","(-4.5789,-4.5746)","(0.11,0.1131)","(-4.299,-4.2938)","(0.1291,0.1327)"
r,"(1.485,1.4924)","(0.1863,0.1915)","(1.5972,1.6053)","(0.2056,0.2114)","(1.5654,1.5735)","(0.2048,0.2105)","(1.5274,1.5354)","(0.2007,0.2063)"
TimeMax,"(0.9543,0.959)","(0.1185,0.1218)","(0.9896,0.9954)","(0.1459,0.15)","(1.0322,1.0382)","(0.1506,0.1549)","(1.0696,1.0756)","(0.1525,0.1568)"
K,"(1.9622,1.9697)","(0.189,0.1943)","(1.941,1.9459)","(0.1216,0.125)","(1.4795,1.4836)","(0.1028,0.1057)","(1.8297,1.8344)","(0.1178,0.1211)"
maxViral,"(1.9483,1.9556)","(0.1823,0.1874)","(1.9382,1.943)","(0.1208,0.1242)","(1.477,1.4811)","(0.1022,0.1051)","(1.8274,1.8324)","(0.1245,0.128)"
cumViral,"(2.9452,2.95)","(0.1217,0.1251)","(3.4739,3.4779)","(0.1007,0.1035)","(3.1055,3.1093)","(0.0949,0.0976)","(3.435,3.4389)","(0.0964,0.0991)"
I0,"(0.8004,0.8063)","(0.1489,0.1531)","(0.8827,0.8884)","(0.1437,0.1477)","(0.9459,0.9516)","(0.142,0.146)","(0.8114,0.817)","(0.1408,0.1448)"
k,"(-1.5932,-1.5855)","(0.196,0.2015)","(-2.0635,-2.0551)","(0.2097,0.2156)","(-2.1709,-2.1623)","(0.2164,0.2225)","(-2.0058,-1.9985)","(0.1834,0.1885)"
b,"(-0.7046,-0.6997)","(0.1225,0.1259)","(-1.2341,-1.23)","(0.1023,0.1052)","(-0.8698,-0.866)","(0.0966,0.0994)","(-1.1803,-1.1764)","(0.0983,0.1011)"
delta,"(1.0493,1.0518)","(0.0617,0.0635)","(0.8447,0.8502)","(0.1379,0.1418)","(0.7709,0.7766)","(0.1441,0.1482)","(0.7088,0.7145)","(0.1418,0.1457)"
