Feature,"mu, ID26","sigma, ID26","mu, ID27","sigma, ID27","mu, ID34","sigma, ID34","mu, ID35","sigma,ID35"
P0,"(-4.0874,-4.082)","(0.136,0.1398)","(-4.4409,-4.4353)","(0.1407,0.1446)","(-4.4557,-4.4505)","(0.1302,0.1339)","(-4.3593,-4.3541)","(0.1316,0.1353)"
r,"(1.423,1.4288)","(0.1452,0.1492)","(1.4079,1.4144)","(0.1638,0.1684)","(1.3927,1.3979)","(0.1307,0.1343)","(1.4901,1.4971)","(0.177,0.182)"
TimeMax,"(0.9882,0.9919)","(0.0913,0.0938)","(1.0497,1.054)","(0.1096,0.1127)","(1.0352,1.0385)","(0.0839,0.0862)","(0.9626,0.9673)","(0.1187,0.122)"
K,"(2.1668,2.1733)","(0.1624,0.1669)","(1.9119,1.9181)","(0.1556,0.16)","(1.8313,1.8374)","(0.154,0.1583)","(1.8257,1.8314)","(0.1455,0.1496)"
maxViral,"(2.1506,2.157)","(0.1613,0.1658)","(1.8997,1.9057)","(0.151,0.1553)","(1.8166,1.8225)","(0.1497,0.1539)","(1.8142,1.8198)","(0.142,0.146)"
cumViral,"(3.0235,3.0283)","(0.1222,0.1257)","(2.9572,2.9617)","(0.1155,0.1188)","(2.7986,2.8032)","(0.1151,0.1184)","(2.8633,2.8682)","(0.1212,0.1246)"
I0,"(0.1826,0.1895)","(0.173,0.1778)","(0.5293,0.535)","(0.1442,0.1482)","(0.5376,0.5436)","(0.1501,0.1543)","(0.8812,0.8873)","(0.153,0.1573)"
k,"(-1.2987,-1.2917)","(0.177,0.182)","(-1.7936,-1.7842)","(0.2376,0.2443)","(-1.5815,-1.5747)","(0.171,0.1758)","(-2.122,-2.1097)","(0.3095,0.3182)"
b,"(-0.717,-0.7121)","(0.1233,0.1267)","(-0.6865,-0.6818)","(0.1165,0.1198)","(-0.5359,-0.5313)","(0.1163,0.1195)","(-0.6305,-0.6257)","(0.1222,0.1256)"
delta,"(1.076,1.0776)","(0.0379,0.039)","(0.9725,0.976)","(0.0863,0.0887)","(1.0634,1.0653)","(0.0492,0.0506)","(1.0126,1.0158)","(0.0798,0.082)"
P0,"(-4.0877,-4.0823)","(0.134,0.1378)","(-4.4483,-4.4428)","(0.1401,0.144)","(-4.4585,-4.4534)","(0.1285,0.1321)","(-4.3556,-4.3503)","(0.1332,0.1369)"
r,"(1.43,1.4369)","(0.1759,0.1808)","(1.3744,1.3806)","(0.1557,0.1601)","(1.4002,1.4063)","(0.1526,0.1569)","(1.5009,1.5085)","(0.1924,0.1978)"
TimeMax,"(0.9682,0.9726)","(0.1118,0.115)","(1.0623,1.0665)","(0.1041,0.1071)","(1.0254,1.0292)","(0.0967,0.0994)","(0.9527,0.9577)","(0.1258,0.1293)"
K,"(2.1958,2.203)","(0.1804,0.1855)","(1.955,1.962)","(0.1749,0.1798)","(1.8401,1.8472)","(0.1783,0.1833)","(1.8363,1.8433)","(0.1745,0.1794)"
maxViral,"(2.1746,2.1814)","(0.172,0.1769)","(1.9394,1.9463)","(0.1726,0.1775)","(1.8239,1.8307)","(0.1719,0.1768)","(1.8239,1.8306)","(0.1686,0.1733)"
cumViral,"(3.04,3.0446)","(0.1151,0.1183)","(2.9614,2.9661)","(0.1181,0.1214)","(2.8117,2.8164)","(0.1184,0.1217)","(2.8797,2.8846)","(0.1237,0.1271)"
I0,"(0.9256,0.9315)","(0.1501,0.1543)","(0.8847,0.8905)","(0.1471,0.1512)","(0.7989,0.8048)","(0.1478,0.152)","(0.9973,1.0032)","(0.1462,0.1503)"
k,"(-1.7382,-1.7288)","(0.2353,0.242)","(-1.9124,-1.9022)","(0.257,0.2642)","(-1.7992,-1.7898)","(0.2361,0.2428)","(-1.9025,-1.8923)","(0.2566,0.2638)"
b,"(-0.8106,-0.806)","(0.116,0.1192)","(-0.7282,-0.7234)","(0.119,0.1224)","(-0.5768,-0.572)","(0.1187,0.1221)","(-0.6596,-0.6546)","(0.1245,0.128)"
delta,"(1.0597,1.0617)","(0.0504,0.0518)","(0.9571,0.9606)","(0.0885,0.091)","(1.0579,1.06)","(0.0542,0.0557)","(1.0165,1.0196)","(0.0792,0.0814)"
