Group,ID,Day0,Day2,Day4,Day6,Day9,Day12,Day28
SAT1 Contact,2,0.38,0.32,2.06,2.18,0.41,0,0
SAT1 Contact,4,0.23,0.7,3.88,1.7,0.59,0.06,0.11
SAT1 Contact,19,0.4,0.34,0.66,1.38,0.09,0.04,0.25
SAT1 Contact,33,0.4,0.38,5.07,0.91,0.02,0,0.31
SAT2 Contact,5,0.38,0.66,2.76,1.86,0,0,0
SAT2 Contact,9,0.43,0.7,0.47,2.9,0.2,0,0.02
SAT2 Contact,22,0.31,0.72,0.77,1.79,0.79,0,0
SAT2 Contact,29,0.34,0.32,0.82,1.79,0.34,0,0.52
SAT3 Contact,12,1.88,0.61,0.57,0.07,0.31,0.04,0.02
SAT3 Contact,15,0.09,0.48,0.57,0.14,0,1.15,0.77
SAT3 Contact,16,0.36,0.5,0.97,2.44,0,0.04,0.57
SAT3 Contact,17,0.36,0.31,1.97,0.29,0,0,0
