Type,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
Contact SAT1 Hapto,SAT1,0.1148207,6.390185,1.828055,0.3396901,2.542105,3.484329,0.007874648,0.007949233,6.349014,3.705,28.01858
Contact SAT1 Hapto,SAT1,0.1203947,7.394909,2.03405,0.303427,2.572644,3.488592,0.008695215,0.008684346,7.345592,3.655,30.90523
Contact SAT1 Hapto,SAT1,0.1095543,6.822035,1.806133,0.3198544,2.72423,3.451727,0.008192096,0.008628121,6.779343,3.69,29.44797
Contact SAT1 Hapto,SAT1,0.08520458,6.821486,1.860657,0.3232626,3.007063,3.421281,0.008607029,0.008187904,6.770881,3.6925,28.99493
Contact SAT1 Hapto,SAT1,0.1076513,7.077534,1.894822,0.3311302,2.58948,3.361712,0.0088287,0.008320486,7.021943,3.7225,28.75057
Contact SAT1 Hapto,SAT1,0.1219977,6.857689,1.941832,0.3134269,2.450126,3.375171,0.008471243,0.008026895,6.80669,3.7975,29.99021
Contact SAT1 Hapto,SAT1,0.1276048,6.779383,1.833023,0.314057,2.493388,4.072207,0.009049064,0.009021145,6.746873,3.4175,30.57583
Contact SAT1 Hapto,SAT1,0.1206768,7.074606,1.881626,0.3172237,2.488012,3.372393,0.00842971,0.008096829,7.021279,3.77,30.26181
Contact SAT1 Hapto,SAT1,0.1065231,6.883821,1.872605,0.3339565,2.861931,3.348641,0.008502668,0.008135099,6.825359,3.7375,28.0173
Contact SAT1 Hapto,SAT1,0.108455,6.555022,1.867711,0.3189533,2.742159,3.578485,0.009429389,0.008931989,6.518204,3.64,29.46406
Contact SAT1 Hapto,SAT1,0.1290469,6.871029,1.918311,0.3174733,2.378961,3.979916,0.009400779,0.009385663,6.830434,3.46,30.45395
Contact SAT1 Hapto,SAT1,0.11586,6.975069,1.688049,0.3308519,2.638493,3.470137,0.007688731,0.00807573,6.92542,3.715,29.25241
Contact SAT1 Hapto,SAT1,0.1153503,7.084046,1.816855,0.3252657,2.659066,3.385954,0.008519406,0.008997965,7.034399,3.7025,29.47423
Contact SAT1 Hapto,SAT1,0.1250542,6.06706,1.818129,0.3512556,2.529181,3.47906,0.009023026,0.008202751,6.031869,3.7,26.83502
Contact SAT1 Hapto,SAT1,0.1021698,6.864748,1.888363,0.319089,2.835631,3.357993,0.00937902,0.008526382,6.816673,3.7575,29.48646
Contact SAT1 Hapto,SAT1,0.1033931,6.075064,1.953132,0.3579347,2.649558,3.851876,0.009204855,0.00836805,6.034891,3.4925,26.34192
Contact SAT1 Hapto,SAT1,0.1112654,6.657496,1.819589,0.3272111,2.69815,3.548747,0.008953217,0.008814669,6.617533,3.645,29.08532
Contact SAT1 Hapto,SAT1,0.1327863,5.941683,1.657919,0.3738074,2.355336,3.563397,0.00911862,0.008289654,5.908481,3.6525,26.1555
Contact SAT1 Hapto,SAT1,0.1224749,6.08097,1.764993,0.3650039,2.526431,3.499794,0.008517924,0.008101103,6.042836,3.6475,26.02055
Contact SAT1 Hapto,SAT1,0.09748655,7.487233,2.120743,0.2951948,2.882525,4.032004,0.00860446,0.008971697,7.435274,3.415,31.92922
Contact SAT1 Hapto,SAT1,0.110508,6.37113,1.929179,0.3355537,2.635494,3.836353,0.008310237,0.008299655,6.329709,3.505,28.15213
Contact SAT1 Hapto,SAT1,0.1129121,6.783385,1.747625,0.3511382,2.681422,3.414205,0.00819265,0.008359667,6.732468,3.725,28.43429
Contact SAT1 Hapto,SAT1,0.1189562,7.306018,1.900272,0.3146149,2.730218,3.338937,0.009479522,0.009080462,7.248007,3.75,29.85325
Contact SAT1 Hapto,SAT1,0.1001585,7.461691,1.854028,0.3079957,2.937378,3.282967,0.008124356,0.008126483,7.398934,3.825,30.54139
Contact SAT1 Hapto,SAT1,0.1211083,6.931796,1.894012,0.338501,2.47665,3.295062,0.008176789,0.008212239,6.874839,3.79,28.05984
Contact SAT1 Hapto,SAT1,0.1018217,6.737757,1.850075,0.3354623,2.659427,3.31687,0.007363834,0.00745992,6.686802,3.82,28.08511
Contact SAT1 Hapto,SAT1,0.1060224,6.956538,1.9565,0.3141208,2.648035,3.48192,0.009344642,0.009430993,6.91275,3.6375,29.94086
Contact SAT1 Hapto,SAT1,0.1163397,6.8392,1.828348,0.3408865,2.600309,3.359591,0.007843038,0.007843521,6.787205,3.7475,27.97541
Contact SAT1 Hapto,SAT1,0.1138673,7.421855,1.746078,0.3055649,2.60233,3.381437,0.009557301,0.00900459,7.369513,3.7525,31.24328
Contact SAT1 Hapto,SAT1,0.1076107,6.760336,1.784045,0.3408226,2.709378,3.376447,0.009296061,0.008450964,6.706792,3.7125,28.21978
Contact SAT1 Hapto,SAT1,0.1204568,6.552527,1.778823,0.3384732,2.491974,3.443968,0.007457175,0.00784,6.510177,3.7475,28.86838
Contact SAT1 Hapto,SAT1,0.125231,6.41177,1.896958,0.3378986,2.488071,3.473811,0.009310099,0.008760907,6.371752,3.665,27.91948
Contact SAT1 Hapto,SAT1,0.09560723,6.710324,1.849428,0.3316663,2.907956,3.467408,0.00905593,0.009104787,6.664361,3.6325,28.40222
Contact SAT1 Hapto,SAT1,0.1215679,6.499239,1.730505,0.3479045,2.537784,3.388724,0.008276817,0.008360249,6.452525,3.7425,27.51808
Contact SAT1 Hapto,SAT1,0.1050431,7.429228,2.055388,0.3177997,2.822113,3.41573,0.007851868,0.008209057,7.36044,3.695,29.6528
Contact SAT1 Hapto,SAT1,0.111209,7.140029,1.83422,0.3263725,2.742359,3.534005,0.008175412,0.008073412,7.077101,3.6725,29.45085
Contact SAT1 Hapto,SAT1,0.1114931,6.406207,1.838923,0.3400351,2.586949,3.489543,0.009007647,0.008499059,6.365215,3.685,28.38319
Contact SAT1 Hapto,SAT1,0.09751126,7.169091,1.960458,0.3293638,2.727609,3.409737,0.008271325,0.00827689,7.108225,3.72,29.08657
Contact SAT1 Hapto,SAT1,0.08870802,7.091537,1.84577,0.3282231,3.00921,3.371446,0.008641616,0.008633712,7.034642,3.6975,29.07633
Contact SAT1 Hapto,SAT1,0.1388023,5.324054,1.881376,0.3912686,2.246654,3.867794,0.008756142,0.008530291,5.297301,3.48,24.43646
Contact SAT1 Hapto,SAT1,0.1433451,7.606985,1.816435,0.3202423,2.374735,3.416278,0.009655837,0.008778034,7.54846,3.715,30.40504
