Group,ID,Day0,Day2,Day4,Day6,Day9,Day12,Day28
SAT1 Contact,2,114,8369,12601,13124,13067,7559,14217
SAT1 Contact,4,95,9702,12559,14848,4578,863,0
SAT1 Contact,19,55,2737,5071,9646,2552,367,440
SAT1 Contact,33,225,2792,14883,12382,4984,592,27
SAT2 Contact,5,67,2847,11501,15000,7427,3602,79
SAT2 Contact,9,0,542,1773,14052,6530,1439,0
SAT2 Contact,22,140,380,163,13159,6431,886,59
SAT2 Contact,29,89,8722,2898,13897,4049,1137,0
SAT3 Contact,12,588,12580,4540,8784,14536,2392,0
SAT3 Contact,15,17,2335,845,476,944,13697,434
SAT3 Contact,16,660,12570,11903,15000,8719,1312,0
SAT3 Contact,17,1246,4821,3729,13936,6837,733,0
