Group,ID,Day0,Day2,Day4,Day6,Day8,Day11,Day14,Day30
SAT1 Needle,7,24,10102,10550,11626,5873,1102,225,5
SAT1 Needle,10,0,10974,9696,8309,3242,143,56,25
SAT1 Needle,11,108,10982,12480,10545,4895,484,330,0
SAT1 Needle,13,1359,12405,12822,11643,6055,423,349,0
SAT2 Needle,8,35,11793,11828,10749,4151,456,1153,8
SAT2 Needle,20,0,5940,7711,4535,3535,748,266,70
SAT2 Needle,28,20,9740,12150,12900,10485,6625,464,0
SAT2 Needle,32,0,11934,12054,15000,14673,1167,739,125
SAT3 Needle,26,12,7391,10792,6313,888,104,953,179
SAT3 Needle,27,0,10915,5790,4767,2920,606,226,317
SAT3 Needle,34,0,11502,11205,13173,4219,530,61,5
SAT3 Needle,35,366,12178,10762,13825,8591,311,123,30
