,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub
P0,-4.8013028058124,-4.79680185806941,0.11323901886142,0.11642201156378,-5.02570706334728,-5.02122421793796,0.11278358355717,0.115953774601017,-4.63947565280041,-4.6348513720156,0.116341945944012,0.11961215764879,-4.66597941242645,-4.66166908745462,0.10844315434302,0.111491341905624
r,1.21187541002953,1.21391242083814,0.051249007664163,0.052689546614769,1.19237871595389,1.1939824911667,0.040349264631232,0.041483426832195,1.35596456867878,1.36185252913715,0.148134771490859,0.152298635690339,1.21476493121784,1.21670590286185,0.048832765265431,0.050205386973379
TimeMax,1.35054585544108,1.35224512062557,0.042751689924944,0.043953380988792,1.36217874881084,1.36349011784748,0.032992638785025,0.03392001637572,1.20905993335805,1.21351276836418,0.112028553993082,0.11517752219681,1.30370510664099,1.30522300720608,0.03818875057745,0.039262183706971
K,1.86002482256085,1.86533691282858,0.133646494998009,0.137403113719646,1.78069724007123,1.78619889791619,0.138415811968653,0.142306489615081,1.77404323509644,1.77961255847708,0.140118204288814,0.144056733836345,2.13358720481909,2.1396872225231,0.15346990440288,0.157783731833195
maxViral,1.85529856520221,1.86084074258175,0.13943524000946,0.143354572372672,1.77464395392023,1.78010488718398,0.137391225174098,0.141253103098285,1.77011350498818,1.77563919621145,0.13902046599588,0.142928139633402,2.12509421703135,2.13113947167376,0.152092124495279,0.156367224431878
cumViral,3.41452098339335,3.41855997807741,0.10161677524941,0.104473082706931,3.2606411571596,3.26466815927314,0.101315055034828,0.104162881553086,3.27335116719592,3.27718668841725,0.096497601111117,0.099210015641199,3.47726368242903,3.48170706918271,0.111790846092708,0.114933132655074
I0,0.650261686311861,0.65576493774703,0.13845590498943,0.142347709595397,0.611418897127341,0.616993291189652,0.140245777202311,0.144187892648561,0.486358135221492,0.491903809542299,0.13952321930216,0.143445024641997,0.791255890108782,0.797176123422592,0.148946721927658,0.153133408934514
k,-2.03811073361443,-2.02957137401331,0.214841130835215,0.220880018830635,-1.90543252920329,-1.89942577086598,0.151123598738437,0.155371474751276,-2.03295291931674,-2.0239679064074,0.226053290197426,0.232407336534788,-2.25440424370096,-2.24366866677945,0.27009560361941,0.277687618667794
b,-1.15201968943805,-1.14790175024529,0.103602934436374,0.106515070090407,-0.990889814537131,-0.986785738828739,0.103254144035528,0.106156475672256,-0.984968056515206,-0.981046029353264,0.098673997816909,0.101447587857885,-1.22861016247565,-1.22409250664279,0.113659376486441,0.116854184862111
delta,0.585171077647705,0.589106102568559,0.099001007493694,0.10178378932585,0.561275274168739,0.565157256475372,0.097666512197331,0.100411783206518,0.615014852999694,0.619595598255527,0.115246638717847,0.118486062846551,0.659608241195381,0.663076396570159,0.087255070337177,0.089707690069489
P0,-4.80926029387676,-4.8047945569293,0.112353153002405,0.115511245236774,-5.03080392705971,-5.02632526331943,0.112678377248269,0.115845611087817,-4.64385966646127,-4.63922272170203,0.116660557960864,0.119939725410179,-4.66704127468679,-4.66277257008849,0.107396030374383,0.110414784725853
r,1.20601322689469,1.20790437667363,0.047579300564143,0.048916689107437,1.19141354082795,1.19304755948627,0.041110157290173,0.042265707134769,1.3478764038671,1.35361870661044,0.144470179569098,0.148531037141874,1.21372025598505,1.21577052998342,0.05158269529652,0.05303261374643
TimeMax,1.34417859683934,1.34571249250556,0.038591170170397,0.039675914759876,1.35699376141066,1.35833474841107,0.03373779499421,0.03468611789863,1.20163455580641,1.20592747469069,0.108005235844869,0.111041114122228,1.3007649658913,1.30236071401236,0.040147311610053,0.041275797190015
K,1.87331429263049,1.8787303929677,0.136263276816494,0.140093449667403,1.78017027466756,1.78573155098166,0.139915748723327,0.143848587524029,1.78020231371241,1.78585198118355,0.142139575453085,0.146134922957265,2.13800237349548,2.14411219599291,0.153716582491716,0.158037343703023
maxViral,1.85529856520221,1.86084074258175,0.13943524000946,0.143354572372672,1.77464395392023,1.78010488718398,0.137391225174098,0.141253103098285,1.77011350498818,1.77563919621145,0.13902046599588,0.142928139633402,2.12509421703135,2.13113947167376,0.152092124495279,0.156367224431878
cumViral,3.40248156564029,3.40652190054631,0.101650493796839,0.104507749036242,3.27035616554686,3.27442937653124,0.102477620675423,0.105358125311058,3.26788369145474,3.27179084938824,0.098299903973384,0.101062978752165,3.47662787223136,3.48109111171726,0.112290319547462,0.115446645620038
I0,0.92792828242331,0.93357092593212,0.141962860092547,0.145953240371572,0.980396821220329,0.985975361100737,0.140350081540099,0.144295128837484,0.977670840897063,0.983286578093983,0.141285926136971,0.145257278735765,0.915730243439516,0.921518540267466,0.145627341418517,0.14972072521555
k,-2.17450004197223,-2.16537602898624,0.229550383076695,0.2360027278736,-2.2653465278213,-2.2553866640037,0.250579493719942,0.257622937825085,-2.25157679878042,-2.24141705576229,0.255608240075141,0.26279303530741,-2.12424841516702,-2.11479784981826,0.237766090362914,0.244449367364987
b,-1.16858430129083,-1.16446853497608,0.103548267155592,0.10645886618773,-1.03902716704834,-1.03486344057759,0.104754893253125,0.10769940888134,-1.03053893137947,-1.02655368254373,0.100264587337096,0.103082886656606,-1.24110234773484,-1.23654601162646,0.114632530741879,0.117854693142023
delta,0.585171077647705,0.589106102568559,0.099001007493694,0.10178378932585,0.561275274168739,0.565157256475372,0.097666512197331,0.100411783206518,0.615014852999694,0.619595598255527,0.115246638717847,0.118486062846551,0.659608241195381,0.663076396570159,0.087255070337177,0.089707690069489
