Feature,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub
P0,-5.09934672256909,-5.09474070941707,0.11588235189118,0.119139645040755,-4.22562438706343,-4.22014060880316,0.137965980789878,0.141844014302033,-4.70361832965827,-4.69928775753929,0.108952550854499,0.112015056850756,-4.6048093226215,-4.59985847250801,0.124558080074297,0.128059235982241
r,1.2782203351371,1.28070952908931,0.0626254506826,0.064385765762234,0.577206668980912,0.579886419496138,0.067419649474935,0.069314722873063,0.497066398317341,0.499400443594875,0.058722076393248,0.060372673003025,0.637694668604883,0.640591108948651,0.072871333205206,0.074919645916986
TimeMax,1.13185002127839,1.1336410232601,0.045059689374017,0.046326255120438,1.63901311502433,1.64033587966918,0.033279340067995,0.034214776436492,1.70960397106718,1.71115973960808,0.039141468243426,0.040241680953066,1.5306438059156,1.5322227719538,0.039725092400938,0.040841709981028
K,1.38889154322511,1.39242293180324,0.088845949928715,0.091343287093067,2.07285946641292,2.07996662911884,0.178808592692451,0.18383465571721,1.74916873975982,1.75689061863704,0.194274192404301,0.199734972115193,1.52647337043096,1.5325420690175,0.15268194899054,0.156973628080534
maxViral,1.36941696919362,1.37274772131277,0.083798151762796,0.086153602279889,1.98384761036902,1.9899169428123,0.152697896146718,0.156990023489287,1.63372339473008,1.63994276086824,0.156472583029107,0.160870811615939,1.41508657908727,1.42008205502285,0.12568081790596,0.129213532426482
cumViral,2.32748288717288,2.33078314433241,0.083030931278311,0.08536481628532,3.02994719710802,3.03455597386929,0.115951881336682,0.119211128863113,2.70296688988667,2.7087602462151,0.145754633025275,0.149851594813882,2.33334981924849,2.33751847123285,0.104878813894043,0.107826812760631
I0,0.539919695093918,0.545639230133724,0.143897368561864,0.147942125206937,0.393626136160538,0.399089396449273,0.137449770627549,0.141313294183718,0.689176496844613,0.694843596372256,0.142578147302283,0.146585822456504,0.604999867547325,0.610791180957646,0.145703235396295,0.149798752468412
k,-1.57504897293222,-1.56723637998717,0.196556461078331,0.202081392215184,-1.55702698676932,-1.55195138197359,0.127696774105224,0.131286154375193,-2.17035067407309,-2.15718987037661,0.3311117087145,0.34041880235679,-1.59291313941054,-1.58711243472204,0.145939509885086,0.150041668307341
b,-0.06858659892645,-0.065273173163546,0.083362239218513,0.08570543683496,-0.744658905347534,-0.739982273192727,0.117659050276824,0.120966283968561,-0.484044175002925,-0.478170881370635,0.147765769873891,0.151919261946644,-0.106045271943586,-0.101841729436591,0.105756622030428,0.108729294873532
delta,1.05913537798825,1.06141277377921,0.057296836055971,0.058907371124786,0.645912506958408,0.651002376092021,0.128055649550833,0.131655117314812,0.900316698811976,0.906211556648893,0.14830830213908,0.152477044045842,1.07204805884913,1.07403718386992,0.050044252590476,0.051450927536904
P0,-5.13129482960723,-5.12681191460783,0.112785334369226,0.115955574625986,-4.22598211055306,-4.22050834842458,0.137713985654411,0.141584935930723,-4.70398027323493,-4.69968204294371,0.108138865148032,0.111178499560875,-4.6043029136459,-4.59939648590134,0.123440460906021,0.126910202079959
r,1.2583799203634,1.26071244594395,0.058683842446612,0.060333364352861,0.592775913013024,0.596082548046113,0.083191391738029,0.08552978706734,0.490085905956163,0.492502758578749,0.060805420400683,0.062514576938291,0.655019208668566,0.658335940464617,0.083445415467442,0.085790951053575
TimeMax,1.13399444381379,1.13565395287281,0.041751468438514,0.042925044655342,1.63392362520887,1.63548319172252,0.039237021164965,0.040339919735495,1.71245626910134,1.71406981356163,0.040595048422091,0.041736119266564,1.50998823531722,1.51190024134293,0.048104021368737,0.049456159090438
K,1.39877487736408,1.40272630293906,0.099413630365211,0.10220801045742,2.03963392134839,2.0479630556207,0.209552086986536,0.215442307251149,1.78612397310001,1.79495737693553,0.222238968470126,0.228485799482377,1.51128323667383,1.51738296317468,0.153462578043619,0.157776199540075
maxViral,1.37412311048734,1.37780084497909,0.092527856189185,0.09512868666243,1.95324632158059,1.96016918920352,0.174171926023628,0.179067658740702,1.65861765927697,1.66542299750719,0.171215012529399,0.176027630484722,1.3952030104442,1.40009251401555,0.123014666855767,0.126472439545976
cumViral,2.29556198758282,2.29912979916192,0.089762313576726,0.092285408459871,3.04964460990761,3.05458387199368,0.124266537730146,0.127759498784734,2.71320566750067,2.71935671259885,0.154753698923683,0.159103612048064,2.30812650652016,2.31260702776737,0.112725110130738,0.115893657567183
I0,0.893010928259223,0.898859953533302,0.147155204004201,0.151291533912119,0.818277209342549,0.823909897840689,0.141712402698807,0.145695742965789,0.755449302848065,0.761109167437057,0.142396124003828,0.146398682734077,0.959623854000498,0.965392721726618,0.145138526050253,0.149218169921193
k,-1.78250292306632,-1.77321802160638,0.233598164561029,0.240164286914954,-1.93411656677773,-1.92568384563519,0.21215822156573,0.218121696680398,-1.90418257817843,-1.89560618605064,0.215772829496537,0.221837906256833,-1.9563466940517,-1.9465345148148,0.246863908031192,0.253802912145145
b,-0.075186525339737,-0.071590489894421,0.090472395786513,0.093015450101616,-0.808432016353617,-0.803447777586741,0.125398102790866,0.128922870579269,-0.501387790108764,-0.495140125006322,0.157184554625578,0.161602795752422,-0.119994693797545,-0.115430547229541,0.114829033530796,0.118056719353427
delta,1.05874364446405,1.06112327777663,0.059869022471237,0.06155185815402,0.589988291316872,0.595900914823475,0.148755267338295,0.152936572820594,0.905207495194655,0.911775479740447,0.165243448342709,0.169888213861486,1.05835801036873,1.06082504474392,0.062067939486365,0.06381258369489
