Feature,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub
P0,-3.97389166927867,-3.96791299186846,0.150417112723726,0.154645130388694,-4.87870385938354,-4.87447581339722,0.106373103295225,0.109363104576766,-4.02677654660428,-4.02176427064619,0.126103488457475,0.129648083664482
r,0.047639667946661,0.049576993849222,0.04874104231989,0.050111085822293,0.411327703117942,0.41243001415265,0.027732963628547,0.028512499001884,0.585429298577828,0.588340168994091,0.073234378355868,0.075292895766319
TimeMax,2.07614852171736,2.07689368060562,0.018747398597012,0.019274362125331,1.73103709841683,1.73178220923588,0.018746189227137,0.019273118761736,1.62470239847763,1.62620182616608,0.037723992809631,0.03878436223904
K,2.29753596134835,2.30298236599347,0.13702570070862,0.140877304244015,2.30219544941148,2.30831281429241,0.153906340772891,0.15823243582787,2.10682818706226,2.11349214223083,0.167657966302928,0.172370600592773
maxViral,2.12926501197506,2.13449415971276,0.131559749881761,0.135257713075088,1.98965252105997,1.99440627092511,0.119599249175655,0.122961019183568,2.02272437336334,2.02851174915781,0.145604169203755,0.149696901661778
cumViral,3.46107305288745,3.46517957576492,0.103315712185575,0.10621977441812,2.6977584208254,2.70250391554144,0.119391558476343,0.122747490585033,3.13334816509757,3.13790530750731,0.11465281641942,0.117875549021993
I0,0.959866957068196,0.965339851566167,0.137692157001185,0.141562493704149,0.982390673834405,0.988208047286474,0.146358878102575,0.150472824387259,1.0693619014776,1.07508667574965,0.144029182027163,0.14807764376702
k,-2.23487048521415,-2.22753550298392,0.18454028763393,0.18972746070145,-1.91669156529605,-1.90893092653689,0.195249349471647,0.200737539503295,-2.16244193906732,-2.15284124549441,0.241543155500577,0.248332600596391
b,-1.25675990211377,-1.25258072557389,0.105143600425373,0.108099042076306,-0.482377707789195,-0.477540379710376,0.121701987411213,0.125122862491972,-0.930010572140173,-0.925375295469123,0.116618590650819,0.119896578456907
delta,0.464368287987605,0.469157632776482,0.120494779288607,0.123881721413366,0.937779617111998,0.942383690944717,0.115833560697138,0.119089482393515,0.653701351959521,0.658555808563251,0.12213292273112,0.125565910809609
P0,-3.99622129715791,-3.99002944442718,0.155780375200879,0.160159146779977,-4.88198346592821,-4.87769912106933,0.107789522559927,0.110819337434242,-4.02685974943642,-4.02187106262051,0.125510010934871,0.12903792430692
r,0.073325015413638,0.075377289131446,0.051633006093313,0.05308433871036,0.411974655802332,0.41317263584451,0.030139893270946,0.030987084118199,0.601995524388642,0.604933999729123,0.073928888648526,0.076006927785812
TimeMax,2.07497351506065,2.07588629746825,0.022964626601413,0.023610130594822,1.73564783178565,1.73679330642914,0.028818913741477,0.029628973675335,1.62147839928938,1.62304157199044,0.039327748973359,0.0404331977775
K,2.16567992956847,2.17274193646633,0.17767252098207,0.182666650597304,2.27929388090074,2.28640912017381,0.179011790461607,0.184043565095516,2.05723466301386,2.06330122919873,0.152628300051308,0.156918471143583
maxViral,2.03478522100607,2.04086859369197,0.153051133595518,0.157353189955779,1.97428847670043,1.97935077389537,0.127361969139125,0.130941938503078,1.98585069263874,1.99152527354256,0.142766370704553,0.146779336559115
cumViral,3.45320924264709,3.45744955032301,0.106681594257179,0.109680266794358,2.71119556277703,2.71673673989433,0.13941007448433,0.143328699479325,3.13254367890097,3.13715530052499,0.116023455032863,0.119284714397218
I0,0.983883249613126,0.988523921335671,0.116754324361351,0.120036127454912,1.14134553161313,1.14711146427898,0.145064683080946,0.149142251327823,0.931849599913923,0.936067651886354,0.106121664622329,0.109104598309422
k,-3.01209347216551,-3.00174443051458,0.260370790692059,0.267689454656242,-2.30051356527637,-2.2879497310018,0.316092598187684,0.324977525339276,-3.10965493925222,-3.10057926271397,0.228334289882543,0.234752451976336
b,-1.24870107590721,-1.24437915101003,0.108734996026572,0.11179138685655,-0.513770243097271,-0.50815748674738,0.141210931222061,0.145180175817189,-0.913676720682706,-0.909024767425591,0.117038155673986,0.120327936874439
delta,0.372663539724809,0.378151483408574,0.138070778378569,0.141951757606462,0.899864107678319,0.905720342294934,0.147336583331844,0.151478011562601,0.636397898191061,0.640941063899155,0.114301177593188,0.117514026113145
