Feature,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub,mulb,muub,siglb,sigub
P0,-4.08738316209608,-4.08197680643162,0.136018111299364,0.139841392885585,-4.44093728553956,-4.43534648095974,0.140658648225831,0.144612368907344,-4.45567743987863,-4.45050205514552,0.130207130336081,0.133867073258778,-4.359315728718,-4.35408502015054,0.131599018684764,0.135298085670005
r,1.42299135509333,1.42876084961923,0.145154295660592,0.149234382793538,1.40792822624657,1.41444023599904,0.163835182564344,0.168440363673607,1.39269150096718,1.39788547016224,0.130674695470568,0.134347781004584,1.49005909101142,1.49709541953354,0.177026480583359,0.182002450893654
TimeMax,0.988237670222559,0.991865653811434,0.091276176820556,0.093841824312386,1.04967551561585,1.0540317114084,0.109597215005209,0.112677841621972,1.03515636907096,1.03849024259318,0.083876682916835,0.086234340836401,0.962627379196482,0.967343889505725,0.118662341881213,0.121997776716754
K,2.16680562326912,2.1732594237604,0.162370699970568,0.166934716493141,1.91187253171018,1.91805867810355,0.155636809871694,0.160011546027316,1.8312735243042,1.83739280766979,0.153954607789603,0.158282059563878,1.82565355213356,1.83143702901386,0.14550607670413,0.149596051917224
maxViral,2.15058211663494,2.15699297705197,0.161290373746749,0.16582402378857,1.89971674444043,1.90572030058146,0.151043034913727,0.155288646388524,1.81655325463164,1.82250230499264,0.149671727934556,0.15387879386073,1.81416296422295,1.81980685485091,0.141994236272983,0.145985498493183
cumViral,3.0234665672886,3.02832553559583,0.122246432353186,0.125682611030661,2.95715671910884,2.96174894244373,0.115535414878836,0.118782956107302,2.79859572175136,2.80317218157592,0.115138821862412,0.118375215407952,2.86334617391967,2.86816165257803,0.121152279421717,0.12455770296875
I0,0.182597229648897,0.189471981181429,0.172961376783785,0.17782308263066,0.529260000291039,0.534991155164405,0.144189711114316,0.148242685105498,0.537635923724004,0.543602990326677,0.150124997256262,0.154344803958166,0.881211490345265,0.887291516987639,0.152966950728455,0.157266640824382
k,-1.29873246967978,-1.29169670467701,0.177012303040827,0.181987874839947,-1.7936264805667,-1.78418123461548,0.237632260024798,0.244311775240573,-1.58147675067154,-1.57467944758389,0.171012856958375,0.175819792599299,-2.1219932077268,-2.10969197686535,0.309485777902303,0.318184996444216
b,-0.717025910069792,-0.712126309396422,0.123268699115394,0.126733612302199,-0.68647180024554,-0.681839480324711,0.116544201985787,0.119820098829057,-0.535873526113623,-0.531252637657586,0.116256598589562,0.119524411297871,-0.630513018406343,-0.625655829157075,0.122201673162632,0.125636593720968
delta,1.07604962973754,1.07755553299398,0.037886911156629,0.038951859996164,0.972530275239587,0.975960579848781,0.086302785662336,0.088728637985313,1.0633652869228,1.06532003817807,0.049179445508823,0.050561811920459,1.01263340044706,1.01580543440096,0.079804972917876,0.082048180682865
P0,-4.0876684387968,-4.08234098175967,0.134033106438503,0.137800592274728,-4.4483210391115,-4.44275390254186,0.140063186468955,0.14400016954142,-4.45845946407661,-4.45335209435503,0.128495945578192,0.132107789456483,-4.35561959044335,-4.35032640019952,0.133170990663374,0.136914243613722
r,1.42995282096368,1.4369434772487,0.17587741607217,0.180821087763222,1.37442441022713,1.38061212323978,0.155676224332676,0.160052068374457,1.40024123719192,1.40630619960537,0.152587950881958,0.156876987814711,1.50087304789906,1.5085216297615,0.192430118108546,0.197839063433332
TimeMax,0.968204924985607,0.972649210486477,0.111813457608365,0.114956379749263,1.06233661363978,1.0664753986379,0.104127392546443,0.107054269994902,1.02536653311524,1.02920971037008,0.096690218704696,0.09940804744978,0.952654240011931,0.95765446985584,0.12580042114183,0.12933649754442
K,2.19579902945583,2.20296968039254,0.180405888501008,0.185476849308822,1.95501917289851,1.96197028357862,0.174882491057261,0.179798196777805,1.84012243876034,1.84720960157807,0.178305416951292,0.183317336399674,1.83631821148594,1.8432544364812,0.174507983188094,0.179413162008753
maxViral,2.1745969963926,2.18143530466351,0.172044503399508,0.176880437199605,1.93940323030358,1.94626467506792,0.172626592764748,0.177478888294401,1.82388018087161,1.83071468376111,0.171948764083576,0.176782006783494,1.82392646196681,1.83062682958532,0.168574064498152,0.173312449045279
cumViral,3.04002234162847,3.04459692937722,0.115091722442247,0.118326792088021,2.96139573578125,2.9660907061983,0.118120421290833,0.121440623485701,2.81173680501235,2.8164411676461,0.118356719391852,0.121683563600565,2.87972104543464,2.88463666933008,0.123671826200997,0.127148070734403
I0,0.925551100253416,0.931517580174248,0.150110236970259,0.154329628780874,0.884655349612661,0.890502013050088,0.14709578272664,0.151230442384367,0.798882120636226,0.804756844098323,0.147801742858635,0.151956246082395,0.997346203638862,1.00315757378124,0.146207841268114,0.150317542115608
k,-1.73818562023344,-1.72883165809962,0.235335657062438,0.24195061793517,-1.91239427657405,-1.90218033306723,0.256971866251528,0.264194991135641,-1.79916135477943,-1.78977597697325,0.236126041692011,0.242763219187011,-1.90248436013332,-1.89228454101598,0.256616511757996,0.263829648117208
b,-0.810623347674377,-0.806014302741501,0.115958628246592,0.119218065419359,-0.72816540547711,-0.723434838527821,0.11901599187187,0.122361367321086,-0.576756976000427,-0.572037536728914,0.118736031431182,0.12207353757838,-0.659550280635163,-0.654601686468721,0.124501322865523,0.128000883406578
delta,1.05968997366946,1.0616926037294,0.050384024894114,0.051800250371568,0.957065655987047,0.960583988222798,0.088517466354776,0.09100557029873,1.05789249813254,1.06004755492698,0.054218918087413,0.055742937125527,1.01646020845398,1.01960695785056,0.079168840568372,0.081394167530025
