Animal ID,Unique ID,Capture Day,P BKA Ecoli,P BKA Staph,Group
2,2-30,30,0.503,0.974837662337662,Contact
4,4-30,30,0.564,0.805194805194805,Contact
19,19-30,30,0.627,0.941558441558442,Contact
33,33-30,30,0.5715,0.578733766233766,Contact
5,5-30,30,0.555,0.818181818181818,Contact
9,9-30,30,0.653,0.593344155844156,Contact
22,22-30,30,0.698,0.839285714285714,Contact
29,29-30,30,0.297,0.804383116883117,Contact
12,12-30,30,0.607,0.831168831168831,Contact
15,15-30,30,0.64,0.862012987012987,Contact
16,16-30,30,0.605,0.855519480519481,Contact
17,17-30,30,0.6035,0.698863636363636,Contact
7,7-30,30,0.308,0.813311688311688,Needle
10,10-30,30,0.4585,0.952922077922078,
11,11-30,30,0.541,0.943181818181818,
13,13-30,30,0.5925,0.970779220779221,
8,8-30,30,0.592,0.712662337662338,
20,20-30,30,0.6195,0.80762987012987,
28,28-30,30,0.4615,0.809253246753246,
32,32-30,30,0.5755,0.725649350649351,
26,26-30,30,0.7025,0.806818181818182,
27,27-30,30,0.378,0.612824675324675,
34,34-30,30,0.801,0.984577922077923,
35,35-30,30,0.6645,0.873376623376623,
2,2-14,14,0.058341862845445,-0.141538017602078,
4,4-14,14,0.228932105083589,0.610445823113548,
5,5-14,14,0.045149550779029,0.961910258259991,
7,7-14,14,0.000568634140794,-0.075746645505699,
8,8-14,14,0.122938701239623,-0.128841437022075,
9,9-14,14,-0.034459228932105,-0.184821815033905,
10,10-14,14,-0.07631070169453,-0.050353484345693,
11,11-14,14,-0.097691345388377,-0.361996825854855,
12,12-14,14,0.046969180029569,0.121627470783437,
13,13-14,14,0.071989082224497,0.357091328812581,
15,15-14,14,0.05788695553281,0.904198528350887,
16,16-14,14,0.024678721710452,0.048910691097966,
17,17-14,14,-0.022176731490959,-0.199249747511181,
19,19-14,14,0.151597861935631,-0.108065214254797,
20,20-14,14,-0.12498578414648,0.033905641321599,
22,22-14,14,0.040145570340043,-0.15365748088299,
26,26-14,14,-0.090412828386216,-0.303707978646659,
27,27-14,14,-0.135448652337086,0.294762660510749,
28,28-14,14,0.013306038894575,0.818208050786322,
29,29-14,14,0.01376094620721,0.26763814745347,
32,32-14,14,-0.176845217786876,-0.038234021064781,
33,33-14,14,0.093369725918344,0.097388544221613,
34,34-14,14,0.056522233594905,-0.081517818496609,
35,35-14,14,-0.007619697486637,-0.177319290145722,
2,2-11,11,0.008788951032987,0.26516901112744,
4,4-11,11,-0.000342426663623,0.074532857442788,
5,5-11,11,-0.067001483848876,0.083350829309259,
7,7-11,11,-0.069284328273028,-0.025824060466093,
8,8-11,11,0.167674922954001,-0.002309468822171,
